"title","year","age","im_db","rotten_tomatoes","runtime","streaming","main_language"
"Secret Obsession",2019,"13+",4.3,3.6,97,"Netflix","English"
"Herbie Goes Bananas",1980,"all",5,4,100,"Disney+","English"
"Once I Was a Beehive",2015,"7+",6.2,7.5,119,"Amazon","English"
"The Invisible Guest",2016,"18+",8.1,6.7,106,"Netflix","Foreign"
"Bokeh",2017,"18+",5,4.5,92,"Netflix","English"
"Sleeping with Other People",2015,"18+",6.5,6.4,101,"Netflix","English"
"The Tigger Movie",2000,"all",6.3,6.2,77,"Disney+","English"
"Mountain",2018,"7+",7.2,8.7,74,"Netflix","English"
"Man Friday",1975,"7+",6.4,3.3,115,"Amazon","English"
"Dumbo",2019,"7+",6.3,4.7,112,"Disney+","English"
"Grassroots",2012,"18+",5.3,5,98,"Amazon","English"
"The Killing of a Sacred Deer",2017,"18+",7,7.9,121,"Netflix","English"
"Bon Cop Bad Cop",2006,"13+",6.8,7.8,116,"Netflix","English"
"Streamers",1983,"18+",6.5,5.6,118,"Amazon","English"
"The Foot Fist Way",2006,"18+",6.3,5.4,85,"Amazon","English"
"House II: The Second Story",1987,"13+",5.4,0.8,88,"Amazon","English"
"Overboard",2018,"13+",6,2.4,112,"Multiple","English"
"Landline",2017,"18+",6.4,7.5,97,"Amazon","English"
"Aladdin and the King of Thieves",1996,"all",6.4,3.3,81,"Disney+","English"
"Notes on a Scandal",2006,"18+",7.4,8.7,92,"Hulu","English"
"Rob the Mob",2014,"18+",6.3,8.3,104,"Amazon","English"
"Battle in Seattle",2007,"18+",6.7,5.6,99,"Amazon","English"
"Indiana Jones and the Temple of Doom",1984,"7+",7.6,8.5,118,"Netflix","English"
"The Willoughbys",2020,"7+",6.4,9,90,"Netflix","English"
"Booksmart",2019,"18+",7.2,9.7,102,"Hulu","English"
"I Am Wrath",2016,"18+",5.4,1.1,92,"Netflix","English"
"Tapeheads",1988,"18+",5.7,6,93,"Amazon","English"
"Copperhead",2013,"7+",5.5,2.1,120,"Amazon","English"
"G-Force",2009,"7+",5.1,2.2,88,"Disney+","Foreign"
"The Bounty Hunter",2010,"13+",5.6,1.2,110,"Netflix","English"
"For Sama",2019,"7+",8.5,9.9,100,"Amazon","Foreign"
"The Curious Case of Benjamin Button",2008,"13+",7.8,7.1,166,"Netflix","English"
"The Beach Bum",2019,"18+",5.5,5.6,95,"Hulu","English"
"Moana",2016,"7+",7.6,9.5,107,"Disney+","English"
"Soorma",2018,"13+",7.4,5,131,"Netflix","Foreign"
"Get Him to the Greek",2010,"18+",6.4,7.2,109,"Netflix","English"
"Michael Moore Hates America",2004,"18+",4.9,7.5,125,"Amazon","English"
"Death of a Salesman",1985,"7+",7.3,10,136,"Amazon","English"
"If I Were You",2013,"18+",7,1.3,115,"Amazon","English"
"Chapter 27",2007,"18+",5.7,1.8,84,"Amazon","English"
"Raising Flagg",2006,"13+",5.4,2.3,103,"Amazon","English"
"Laurence Anyways",2012,"13+",7.7,8.4,168,"Amazon","Foreign"
"North Dallas Forty",1979,"18+",6.9,8.3,119,"Amazon","English"
"Death Rides a Horse",1967,"18+",7.1,4,120,"Amazon","Foreign"
"Pride",2014,"18+",7.8,9.1,119,"Amazon","English"
"Dalida",2016,"7+",6.9,4,127,"Amazon","Foreign"
"2 States",2014,"7+",6.9,4.4,149,"Netflix","Foreign"
"Kabhi Khushi Kabhie Gham",2001,"all",7.4,10,210,"Netflix","Foreign"
"Midnight Special",2016,"13+",6.6,8.3,112,"Amazon","English"
"Secret in Their Eyes",2015,"13+",6.3,3.9,111,"Netflix","English"
"Bébé's Kids",1992,"13+",5.8,3,70,"Netflix","English"
"Dear Zindagi",2016,"13+",7.6,6.9,151,"Netflix","Foreign"
"Parkland",2013,"13+",6.3,5,93,"Amazon","English"
"House at the End of the Street",2012,"13+",5.6,1.4,101,"Netflix","English"
"High School Musical 2",2007,"all",5,8.2,104,"Disney+","English"
"Out of Time",2003,"18+",6.5,6.4,105,"Amazon","English"
"Mr. Roosevelt",2017,"18+",6.2,10,90,"Netflix","English"
"Rocko's Modern Life: Static Cling",2019,"7+",7,9.1,45,"Netflix","English"
"The Hooligan Factory",2014,"13+",4.8,3.3,90,"Amazon","English"
"Failure to Launch",2006,"13+",5.6,2.4,97,"Netflix","English"
"Buffalo Boys",2018,"18+",5.8,7.9,102,"Netflix","Foreign"
"The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble",2016,"13+",7.7,8.4,96,"Amazon","English"
"Elizabeth",1998,"18+",7.4,8.2,124,"Netflix","English"
"Thousand Pieces of Gold",1991,"13+",6.9,9.1,105,"Amazon","English"
"Ecstasy",1933,"18+",6.7,7,82,"Amazon","Foreign"
"Spenser Confidential",2020,"18+",6.2,3.8,111,"Netflix","English"
"The Unknown Known",2013,"13+",7,8.2,103,"Netflix","English"
"Romancing the Stone",1984,"7+",6.9,8.4,106,"Hulu","English"
"The Edge of Seventeen",2016,"18+",7.3,9.4,104,"Netflix","English"
"I Love You Too",2010,"18+",6,5.4,107,"Amazon","English"
"Guess Who",2005,"13+",5.9,4.2,105,"Netflix","English"
"Jupiter Ascending",2015,"13+",5.3,2.7,127,"Netflix","English"
"Creepshow 2",1987,"18+",6.1,3.2,92,"Amazon","English"
"Black November",2012,"13+",5.3,2.3,95,"Amazon","English"
"The Art of the Steal",2013,"18+",6.3,4.4,90,"Netflix","English"
"Jesus Camp",2006,"13+",7.4,8.7,84,"Hulu","English"
"The Girl",2012,"13+",6.2,5.3,91,"Amazon","English"
"Kill the Messenger",2014,"18+",6.9,7.7,112,"Netflix","English"
"The Vanishing",2018,"18+",5.8,8.5,107,"Amazon","English"
"Trespass Against Us",2016,"18+",5.8,5.7,99,"Netflix","English"
"Kill the Irishman",2011,"18+",7.1,6.2,106,"Amazon","English"
"Onward",2020,"7+",7.5,8.8,102,"Disney+","English"
"Ip Man 2",2010,"18+",7.5,9.6,108,"Netflix","Foreign"
"Three Identical Strangers",2018,"13+",7.7,9.7,96,"Hulu","English"
"Pauly Shore Is Dead",2003,"18+",4.4,5.7,82,"Amazon","English"
"Bill Burr: Paper Tiger",2019,"18+",8.2,8.6,67,"Netflix","English"
"A Farewell to Arms",1932,"7+",6.5,9.3,80,"Amazon","English"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"7+",6.9,7.6,143,"Disney+","English"
"The Jungle Book 2",2003,"all",5.4,1.9,72,"Disney+","English"
"Doom: Annihilation",2019,"18+",3.6,5,96,"Netflix","English"
"Sand Castle",2017,"18+",6.3,4.4,113,"Netflix","English"
"Terminator Salvation",2009,"13+",6.5,3.3,115,"Netflix","English"
"The Silent Storm",2014,"18+",5.1,2.8,102,"Amazon","English"
"Sinbad: Legend of the Seven Seas",2003,"7+",6.7,4.5,86,"Hulu","English"
"Damsel",2018,"18+",5.5,6.7,113,"Hulu","English"
"The Offering",2016,"18+",3.8,0.8,95,"Amazon","English"
"Flubber",1997,"7+",5.3,2.4,93,"Disney+","English"
"Out of the Dark",2014,"18+",4.8,2.4,92,"Multiple","English"
"Free Solo",2018,"13+",8.2,9.7,100,"Multiple","English"
"Pipe Dream",2002,"18+",5.9,7.2,91,"Amazon","English"
"I Dream in Another Language",2017,"18+",7.4,8,103,"Amazon","Foreign"
"Extremities",1986,"18+",6.3,4,89,"Amazon","English"
"Lawn Dogs",1997,"18+",7.5,7.2,101,"Amazon","English"
"Melancholia",2011,"18+",7.2,8,135,"Hulu","English"
"Vidal Sassoon: The Movie",2010,"7+",6.5,6,90,"Amazon","English"
"Standing in the Shadows of Motown",2002,"7+",7.8,9.1,108,"Multiple","English"
"Elisa & Marcela",2019,"18+",6.5,3.3,118,"Netflix","Foreign"
"Trash",2014,"18+",7.2,6.6,114,"Netflix","Foreign"
"The Matrix",1999,"18+",8.7,8.7,136,"Netflix","English"
"Rat Race",2001,"13+",6.4,4.4,112,"Amazon","English"
"Elián",2017,"7+",6.8,10,108,"Amazon","English"
"Peter Pan",1953,"all",7.3,8,113,"Disney+","English"
"The Hundred-Foot Journey",2014,"7+",7.3,6.7,122,"Netflix","English"
"Blood Brother",2013,"7+",8.3,7.3,87,"Amazon","English"
"Misery",1990,"18+",7.8,9,107,"Hulu","English"
"Frankie & Alice",2010,"18+",6.5,2.1,101,"Amazon","English"
"Bolden",2019,"18+",5.6,7,108,"Multiple","English"
"Bill & Ted's Bogus Journey",1991,"7+",6.3,5.4,93,"Amazon","English"
"The Case for Christ",2017,"7+",6.2,5.9,112,"Netflix","English"
"The Falcon and the Snowman",1985,"18+",6.8,8.1,131,"Amazon","English"
"The Incredible Journey",1963,"all",7.1,8.9,80,"Disney+","English"
"Jim Gaffigan: Obsessed",2014,"16+",7.6,10,60,"Netflix","English"
"Dark Places",2015,"18+",6.2,2.3,113,"Netflix","English"
"Star Wars: Return of the Jedi",1983,"7+",8.3,8.2,131,"Disney+","English"
"Bravetown",2015,"18+",6.2,2.5,112,"Amazon","English"
"Wannabes",2000,"18+",5.7,1.9,110,"Amazon","English"
"The Big Kahuna",2000,"18+",6.6,7.3,90,"Amazon","English"
"Seven Days in Utopia",2011,"all",6,1.5,100,"Amazon","English"
"Rosenstrasse",2003,"13+",6.7,5.5,136,"Amazon","Foreign"
"Game Change",2012,"18+",7.4,6.8,118,"Amazon","English"
"Lez Bomb",2018,"18+",5,8.9,90,"Netflix","English"
"Happy New Year",2014,"all",5,4.7,118,"Netflix","English"
"Motorama",1991,"18+",6.4,6,90,"Amazon","English"
"The Outcasts",2017,"13+",5.5,5,95,"Netflix","English"
"The Little Hours",2017,"18+",5.8,7.8,90,"Netflix","English"
"Monsters University",2013,"all",7.3,8,104,"Disney+","English"
"The Artist",2011,"13+",7.9,9.5,100,"Netflix","English"
"The Color of Friendship",2000,"7+",7.2,10,87,"Disney+","English"
"Geronimo",1962,"7+",5.8,8,115,"Amazon","English"
"Rememory",2017,"13+",6.2,2.5,111,"Amazon","English"
"The Jewel of the Nile",1985,"7+",6.1,5,106,"Hulu","English"
"The Tourist",2010,"13+",6,2,103,"Netflix","English"
"Paul Williams Still Alive",2011,"13+",6.9,9.7,87,"Amazon","English"
"The Spy Who Dumped Me",2018,"18+",6,4.9,117,"Multiple","English"
"Gacy",2003,"18+",4.7,1.7,88,"Amazon","English"
"Kill Me Later",2001,"18+",6.3,2.6,89,"Amazon","English"
"7 Boxes",2012,"16+",7.1,9.7,105,"Amazon","Foreign"
"Love, Rosie",2014,"18+",7.2,3.3,102,"Multiple","English"
"Stonehearst Asylum",2014,"13+",6.8,5.4,112,"Netflix","English"
"Sacred Planet",2004,"all",6.1,5.8,40,"Disney+","English"
"Of Mind and Music",2014,"13+",6.8,7.1,98,"Amazon","English"
"Shine",2017,"18+",4.7,5,105,"Amazon","English"
"Tinker Tailor Soldier Spy",2011,"18+",7.1,8.3,122,"Netflix","English"
"Marshall",2017,"13+",7.2,8,118,"Amazon","English"
"Slender Man",2018,"13+",3.2,0.6,93,"Amazon","English"
"Waco: The Rules of Engagement",1997,"13+",7.9,8.8,136,"Amazon","English"
"23 Blast",2014,"13+",6.5,3.6,98,"Amazon","English"
"The Twilight of the Golds",1996,"13+",6.5,4.3,92,"Amazon","English"
"The Butterfly Tree",2017,"16+",5.3,4.6,97,"Amazon","English"
"Neds",2010,"16+",7,9.4,124,"Amazon","English"
"Pirates of the Caribbean: On Stranger Tides",2011,"13+",6.6,3.3,137,"Disney+","English"
"Orbiter 9",2017,"16+",5.9,6.7,95,"Netflix","Foreign"
"Thumbelina",1994,"all",6.3,3,86,"Disney+","English"
"Mike Wallace Is Here",2019,"13+",7.2,9.4,90,"Hulu","English"
"Thin",2006,"13+",7.4,10,102,"Amazon","English"
"The Other Side of the Wind",2018,"18+",6.8,8.3,122,"Netflix","English"
"Soul Plane",2004,"18+",4.5,1.8,86,"Multiple","English"
"Comedian",2002,"18+",6.9,7.6,82,"Netflix","English"
"Scott Pilgrim vs. the World",2010,"13+",7.5,8.1,112,"Netflix","English"
"White of the Eye",1988,"18+",6.2,4.3,110,"Amazon","English"
"I Am Mother",2019,"13+",6.7,9,113,"Netflix","English"
"The Little Mermaid II: Return to the Sea",2000,"7+",5.6,3.3,75,"Disney+","English"
"Hot Summer Nights",2018,"18+",6.4,4.3,107,"Amazon","English"
"Mirror Mirror",2012,"7+",5.6,5,106,"Multiple","English"
"Ghosts of Girlfriends Past",2009,"13+",5.8,2.7,115,"Netflix","English"
"Runaway Train",1985,"18+",7.2,8.5,98,"Amazon","English"
"Deidra & Laney Rob a Train",2017,"16+",6.1,9.1,92,"Netflix","English"
"Molokai: The Story of Father Damien",1999,"7+",6.9,6.3,109,"Amazon","English"
"10 Rillington Place",1971,"7+",7.6,5.8,111,"Amazon","English"
"The Italian Job",1969,"all",7.3,8.3,111,"Amazon","English"
"Some Kind of Wonderful",1987,"13+",7.1,8.1,95,"Amazon","English"
"The Frozen Ground",2013,"18+",6.4,6.1,105,"Multiple","English"
"The Ninth Gate",1999,"18+",6.7,4.3,133,"Amazon","English"
"Sweet Land",2005,"7+",7.1,8.5,110,"Amazon","English"
"All the Boys Love Mandy Lane",2008,"18+",5.5,4.3,90,"Netflix","English"
"Jimmy Neutron: Boy Genius",2001,"all",6,7.4,82,"Netflix","English"
"American Folk",2018,"7+",6.1,7.6,99,"Multiple","English"
"Miracle on 34th Street",1947,"all",7.9,9.6,96,"Disney+","English"
"Ktown Cowboys",2015,"18+",6.7,3.3,81,"Amazon","English"
"Under the Boardwalk: The Monopoly Story",2011,"all",6.2,8.5,88,"Amazon","English"
"Sodom and Gomorrah",1962,"all",5.7,5,154,"Amazon","English"
"Ferris Bueller's Day Off",1986,"13+",7.8,8,103,"Netflix","English"
"The Duchess",2008,"13+",6.9,6.2,110,"Multiple","English"
"The Theory of Everything",2014,"13+",7.7,7.9,123,"Netflix","English"
"In My Sleep",2010,"13+",5.5,1.3,104,"Amazon","English"
"California Split",1974,"18+",7.2,8.8,108,"Amazon","English"
"Force 2",2016,"7+",6.2,5.5,127,"Netflix","Foreign"
"The Tenants",2006,"18+",5.2,3.2,93,"Amazon","English"
"Science Fair",2018,"7+",7.4,9.7,90,"Disney+","English"
"The Breadwinner",2017,"13+",7.7,9.5,94,"Netflix","English"
"Naked Gun 33<U+2153>: The Final Insult",1994,"13+",6.5,5.4,83,"Amazon","English"
"The Relic",1997,"18+",5.8,3.4,110,"Amazon","English"
"Like Crazy",2011,"13+",6.7,7.1,86,"Amazon","English"
"Sister Act",1992,"7+",6.4,7.3,100,"Disney+","English"
"Indiana Jones and the Kingdom of the Crystal Skull",2008,"13+",6.1,7.8,122,"Netflix","English"
"XX/XY",2002,"18+",5.9,4.3,91,"Hulu","English"
"The Pink Panther Strikes Again",1976,"7+",7.2,8,103,"Amazon","English"
"The Visual Bible: The Gospel of John",2003,"13+",7.7,3.7,180,"Amazon","English"
"The Man from Earth: Holocene",2017,"13+",5.3,5,98,"Amazon","English"
"Star Trek II: The Wrath of Khan",1982,"7+",7.7,8.7,113,"Multiple","English"
"Acts of Vengeance",2017,"18+",5.7,5.5,87,"Netflix","English"
"Ghosts of Abu Ghraib",2007,"18+",7.8,10,78,"Amazon","English"
"Okja",2017,"13+",7.3,8.7,120,"Netflix","English"
