"title","year","age","im_db","rotten_tomatoes","runtime","streaming","main_language"
"Alone in Berlin",2016,"18+",6.5,5.7,103,"Netflix","English"
"National Treasure: Book of Secrets",2007,"7+",6.5,3.6,124,"Disney+","English"
"Permanent",2017,"13+",5.5,4.4,93,"Multiple","English"
"Lisa and the Devil",1973,"18+",6.4,6.2,95,"Amazon","Foreign"
"The Four Feathers",2002,"13+",6.5,4.1,132,"Amazon","English"
"The Tribes of Palos Verdes",2017,"18+",5.8,6.4,104,"Netflix","English"
"The Phantom of the Opera",1925,"13+",7.6,9.1,143,"Amazon","English"
"Highway",2014,"13+",7.7,8.8,133,"Netflix","Foreign"
"Country Strong",2010,"13+",6.3,2.2,117,"Netflix","English"
"This One's for the Ladies",2018,"18+",4.8,7.2,82,"Hulu","English"
"Sister Act 2: Back in the Habit",1993,"7+",5.6,0.7,107,"Disney+","English"
"Half Magic",2018,"18+",4.6,5.5,94,"Hulu","English"
"The Boy Who Harnessed the Wind",2019,"7+",7.6,8.7,113,"Multiple","Foreign"
"Children Shouldn't Play with Dead Things",1973,"7+",5.5,4.2,87,"Amazon","English"
"Dark Obsession",1989,"18+",4.8,3.6,100,"Amazon","English"
"Another Happy Day",2011,"18+",6.1,4.4,119,"Amazon","English"
"Candy Jar",2018,"13+",5.8,7.1,92,"Netflix","English"
"The Water Diviner",2014,"18+",7,6.1,111,"Netflix","English"
"The Spiderwick Chronicles",2008,"7+",6.5,8,96,"Netflix","English"
"Hail, Caesar!",2016,"13+",6.3,8.5,106,"Netflix","English"
"Heavyweights",1995,"7+",6.6,2.9,100,"Disney+","English"
"Harvard Man",2001,"18+",4.9,3.3,99,"Amazon","English"
"The Man from Elysian Fields",2001,"18+",6.6,5.1,106,"Amazon","English"
"Genova",2008,"18+",6,7.7,93,"Amazon","English"
"He Named Me Malala",2015,"13+",6.9,7.2,88,"Netflix","English"
"King Lear",2018,"16+",6.1,9.1,115,"Amazon","English"
"Eichmann",2007,"18+",5.9,3.8,122,"Amazon","English"
"Sarah's Key",2010,"13+",7.5,7.2,111,"Netflix","Foreign"
"Love Hurts",2009,"13+",5.6,2.9,127,"Amazon","English"
"Blank Check",1994,"7+",5.3,0.9,93,"Disney+","English"
"Brooklyn's Finest",2009,"18+",6.7,4.4,132,"Multiple","English"
"Monsters: Dark Continent",2014,"18+",4.3,1.7,119,"Netflix","English"
"The Love Guru",2008,"13+",3.8,1.4,87,"Multiple","English"
